id,sentimen,tweet,capital_count,exclamation_count,word_count,char_count,word_capital_count
1,1,"oks kak semangat iya kalian kalian ",0,0,6,33,0
2,0,"sekarang harus kaya orang bodoh lagi bodoh sangat ",0,0,8,49,0
3,1,"begitu diumumkan lulus 100 mereka semua sujud syukur dan langsung mengambil bunga saat dia menghampiri langsung memeluk menciumku air mata tak kuasa kubendung mom this is my birthday present for kamu url ",1,0,46,219,0
4,0," username username katanya bapak reformasi dan demokrasi di negeri kita ini tapi kenyataannya sebaliknya tidak mau mengakui kelebihan seseorang pemimpin macam apa itu tidak ada yang bisa diambil contoh dari nya kami sebagai generasi muda menolak ",7,0,44,252,0
5,0,"macet macetan perut kosong akhirnya mampir dahulu soto betawi at gki pamulang pic â ",0,0,18,89,0
6,0,"pernyataan paling mengganggu telinga malam ini keluar dari mulut juru bicara pemerintah ali mochtar ngabalin pemerintah adalah representasi tuhan di muka bumi makin dekaden nalar demokrasi kita kalau pandangan begitu dibiarkan menguasai istana ternyata sama saja dengan pak tua itu itu ",12,0,46,277,0
7,1,"masi belum move on dari poto poto ini ceritanya lagi nyobain face filter hengpong syanggih punya diajeng astri eka pertiwi gada orangnya gausah dicari ",5,0,28,154,0
8,1,"dibalik kecemburuan terselip rasa kasih sayang yang dalam maka dari itu cemburu diperlukan dalam setiap hubungan tetapi tetap dalam kadar yang wajar tentunya emotxsenyum ",2,0,29,150,0
9,1,"kalau sudah sayang beneran itu mau dihadapkan sama cowok yang lebih kaya ganteng pinter serba dlitu pasti akan tetep tidak mau berpindah ",1,0,31,157,0
10,1," username pagi juga mas nya duhjadi gaenak dapat ucapan met pagi dari netijen twitter emotxtawa ngomong-ngomong dari kejauhan berapa kamu ini alias darimana kota tempat tinggalmu emotxtawa ",4,0,34,169,0
11,0,"efek pintu tol slipi arah semanggi ditutup macet parah di sini pak polisi bukan ngatur bahkan jagain jalur busway username username username url ",2,0,33,153,0
12,0,"jangan shyok iya di rw yalah kakak jadi selama ini â _ â sudah lama kali emotxdatar rw emotxtawa ganti klam ",0,0,22,95,0
13,1,"nonton hanya tidak dapat tiket ini hana emotxsenyum hem nanti malam sonichi bokuno taiyo nonton yu emotxsenyum penasaran ini ",0,0,20,106,0
14,1,"melakukan hal yang sebenernya kamu tidak suka dengan happy hati karena kamu tahu itu bikin pasangan kamu bahagia itu baru romantis ",1,0,25,127,0
15,1,"bikin cake ulang tahun dan hasilnya bagus yeye emotxsenyum ",0,0,10,49,0
16,0,"jadi pusing kana sirah na oge ",0,0,6,29,0
