id,tweet
1,beh siapa yang mau saya jadin ojek -_- jauh amat wkwkwk
2,yang leging kamu lucu wkwk kapan ya al jadi pacar saya
3,mauk tahu benjet yah kepo deh! kaseh tua tidak-ya wkwkwkwk #4
4,wah sakit kamu seph
5,iseng saja apasih dil cie cie saja kamu tuh baik don baik sangat malah kamu juga ngejagain sangat
6,alhamdulilah malam nisfu sa'ban insyalah salah satu malam dimana amalan dan doa… (at ganeldestha suite rom kostrad) —
7,besok saya menang terus dapat hadiah bingkisanya pas saya buka tahu nya bingkai yang isinya kumpulan foto jelek anak2 sekelas! saya bakar itu!
8,cintaku istimewa -
9,salah yang kita pikirin itu selalu benar karena kita sudah mikirinrt kadang apa yang kita pikirin itu tidak-selalu benar
10,jahat huwe t^t setuju/ negative by: sica jelek :3 btbminhyuk90: test
11,minum nya tep teh botol sosro makan ati kenyang sudah ~
12,boker masal yuk;d aduh perut sakit :v
13,mungkin dya sibuk :'(
14,terimakasih telah menjadi bagian dari hidupku selama ini dan kalau itu keputusan yang terbaik buat mu ☹ :'(
15,2smp #spikquestion pertama kali punya hp pas kelas berapa
16,spa yang sakit ngi :/ cabut fungi ya cabut dari rs lah�
17,hawanya dingin bikin ke toilet terus nh
18,ibu ivanya sibuk kali belum sempet tandatangan mingu lbihcaprak memang bagi rapot hari senin kok tidak-tahu
19,mengikhlaskan segala sesuatu dapat membuat hidup lebih tenang ^
20,at tanjung mas raya estate —
21,asik yang jelas saya ditraktir yah �\(^▿^)/�
22,masih mblo saja kuat sudah hari sabtu masih jomblo saja
23,oke exit kita tidur~ ( |
24,salah tidak-sih aku begini u u
25,tahan kangen ke kamu itu mirip tahan berak gara-gara wcnya rusak wkwk
26,iya abis brondongnya manis sangat sampai giung wk aduh brondong dong teh hihi (cont)
27,iya yeh ca biar makin cepat jadinya hahaha somplak kamu kan tiap malam juga tidak-apa-apa jeng nahkan
28,rt bukan sayang namanya kalau masih sering ngebohongin
29,finaly! jati bening :
30,awards cuma bonus y tidak-ka sama sh disisi sb juga sudah cukup
31,[helprt]go folow keren murmer lagi mengadakan tidak-loh :dadminya cantik juga makasih^
32,apan yang parah makin panas saja - -
33,di sini mah parah bro dari pagi ujan terus kamu tidak-ngampus
34,makasih :-) ava nya keren bro wkwkwk
35,jam segini bukanya tidur malah main temple run oke deh sip bye! (at bu ain's) —
36,mengwop kan pun di bilang gila ya sudah gila kamu ku rasa ya wop cinta pertama
37,ngape kamu tidak-jelas sudah
38,bahagia itu sederhana aku sayang kamu dan kamu sayang aku ♡
39,terus salah saya salah orangtua saya salah kaka saya
40,jadi yang benar nya kapan
41,banyak yang buat status tentang bm naik semua belaga pintar belaga menguasai persoalan dan semua belaga… —
42,yang dekat menjauh yang jauh makin jauh wew
43,jangan bikin saya terbang kalau � cuma mau jatohin saya saja kuat terbang tidak-tuh :p untung saya tinkerbel☺
44,cinta memang butuh waktu dan waktu yang dibutuhkan cinta adalah teka-teki yang sulit diprediksi
45,cepat sembuh kakaku (at rs sari asih karawaci) [pic] —
46,nah cakep! iya aku lagi coba berhenti juga nih soalnya kalau malam suka sakit perut
47,yang benar kamu dodol
48,h~ memang iya kamu itu cerewet banget! okey deh kalau kumpul juga gabakalan semua wis (✣� _✣�) kangen sama kekompakanya:(
49,iya aman kok aku pasti pulang )rt yuk cepat pulang khin :) aku ikut:(
50,iya kaka imel sabar terus ko sabar ya kalau mau bong lagi juga gangapa ko :')
51,trauma adalah bagian dari rasa sakit yang terlalu dalam
52,hapy milad meta bahagia bahagia dan bahagia amin (�)
53,punya harta & ilmu jika hanya dinikmati sendiri tidak-banyak berarti berbagi adl cara bersyukur tertingi ata nikmat yang diberinya
54,aih mate kelepek2 tidak-kompor gas tidak-ada apa-apanya sama hati aku ledakanya jauh lebih besar hatiku
55,selamat sore~
56,wo itu mah acara di sctv :p haha jebakan betmen :p haha
57,neh babet btu ye benar hore \(�▽`)/s enak nah itu lh d jawab yola ha
58,benar sangat oh ya ada rencana kerja tidak
59,entah kenapa pada senang ama hari jumat ! padahal kalau jumat macetnya priuk benar-benar juara! malah juara umum :/ :/ :/
60,macet bgt! #:-s
61,pukpuk kandang isa pukpukpuk ya itu ds ka (derita sampean) wangsitnya kurang
62,ya alah nikmat yang kuterimau di hari ini adalah dari-mu bagi-mu segala puji dan kepada-mu panjatan syukur
63,jadi ingin sabana minum obat dulu sana hushus biar tidak-lemas biar beli makanan saya juga ingin soalnya;p kaga! ini abis disuapin e
64,mungkin banjir sambil dengar ini enak tip ♫ when i was your man by (with stieven) —
65,belum tepat waktu nya
66,selamat istirahat iye mak -_- {} : muah baca do'a meremin matanya aku peluk dari sini {} muwah :
67,pas tidur sukanya lampu dinyalain / dimatin
68,tae-_- daripada lebih baik
69,iya sepi nih sem~ sepi tuh sem katanye dewikirana: sepi :(
70,dih kan bocah plaong wkrt lah iya-_-wkwkrt dikata sms kosong apa wkrt tidakadapesanyang
71,lucu yah liat gary ama ji hyo semacam bagaimana begitu best couple ☺
72,pemimpin itu akan lebih baik jika bisa men-contoh-i #nvn
73,haha indah sangat des tidak-ada yang bisa ngalahin mukanya memang sangat indah ni lebih bagus dari suramadu des
