id,tweet,sentimen,pos_words,neg_words
6001,haha setuja yang tahlah pusing aku ndak pulak ahli dalam contek mencontek,0,,Contek:3
6002,semangat perjuangan belum selesai masih ada sbmptn dan test lainya semangat! (ง'�✣'� )ง,1,Semangat:5,
6003,fakta tiap tim yang bisa ngalahin barca di semifinal biasanya juara ucl contohnya kaya inter dan chelsea hm,1,,
6004,motivator fenomenal ⇒ kak ranga wkwk,1,,
6005,ngopi sambil menanti kabar paripurna yang sudah jelas arahnya :d vanila cafe),1,,
6006,rtuh wkwk elu saja elu saya kira budi gila benar sms saya mila pakai kata2 sayang tidak-tahunya elu :p:p,1,,
6007,diner sama pacar orang spesial sambal s waroeng),1,Spesial:4,
6008,aku senang guguk jenis inih buat jaga rumah keren sangat (with sika) [pic] —,1,Keren:5,
6009,cieh lagi senang coy tuhkankan wakakak♥,1,Senang:5,
6010,sudah lama tidak-dipakai kali au sudah saya juga tidak-ngerti kenapa bisa begitu,0,,
6011,hpku sepi gakayak hpnya eje,0,,Sepi:4
6012,rajin di marahin guru karena tlat  begitu itu saya rajin hampir rutin,0,,Telat:4
6013,saya gabut hangat kamu lagi dbwah ngapain (with at ruang hrd mpg media) —,0,,Gabut:3
6014,kalau yang menang saya boleh boleh boleh yang menang alex pit novita kalau tidak-menang kebangetan sekali,1,,
6015,kalau ada orang bercakap-cakap bahasa asing di angkutan umum pasti ngelirik sinis dalam hati berkata songong #susahmaju tuh,0,,"Songong:5, sinis:5"
6016,berhubung nanti malam nispu nanad minta map ya sama kalian semua mapin kalau banyak salah :'),1,,
6017,nih gelisah,0,,Gelisah:5
6018,lebih nyaman pakai ubuntul adroino dong :-p pakai ubuntu saja sudah,1,Nyaman:5,
6019,libur telah tiba libur telah tiba horay horay pagi2 sakit perut ama gusi bengkak mau nya apa sih,0,,"Sakit:5, bengkak:5"
6020,ngebet kenapa mi iya aku habis kecelakan motor ka terus luka dikakinya :'(,0,,
6021,nanti nonton chibi tidak-yak jauh sih☹,0,,Jauh:3
6022,gatau maksudnya bukan hasil ulanganya tapi pas sudah di rata2inya kalau gasalah,0,,
6023,haha bisa ae nih juwitart a panda ( #remajaindonesia lebih lucu a panda b koala,1,,
6024,bersatu kita kuat ! [pic] —,1,,
6025,yang penting tidak-demo kenaikan bm kan hehe,1,,Demo:4
6026,dimana ns toilet moi bukan rt ya alah kasihan sekali bayi dibuang di pipa toilet masih ada talipusernya :') orang tua macam apa dia,0,,Kasihan:5
6027,gendut fisika mihpit :(,0,,
6028,ndah avatar kamu cantik sekali{},1,Cantik:5,
6029,haha ya sudah belajar iya oh iya ya jauh lagi kamu juga tidak-tahu rumah kaka du,1,,
6030,ya disiplin bukanlah kebiasan kaku yang membosankan anda bisa tambahkan kreatifitas agar tetap segar dan menyenangkan,1,"Kreatif:3, segar:3, senang:5",
6031,enaknya yv sudah sarapan rawon setan,1,Enak:5,
6032,mau meting nyari2 pulpen asu pulpen saya ilang molo saya simpen dimeja sendiri kaya waktu sekolah saja pulpen ilang molo,0,,"Hilang:3, ilang:5"
6033,asli kenapa harus di waktu yang bersaman,0,,Kenapa:3
6034,sabtu cepat amat sih (✣� _✣�),0,,Sih:5
6035,aries kesehatan: jika memang dirasa badan kurang begitu fit sebaiknya tak perlu memaksakan diri,0,,"Kurang:5, paksa:5"
6036,mau pindah ke bulan nih orang orang di bumi jahat jahat:(,0,,
6037,god morning auntie & uncle�✈ (at pesona amsterdam i-4/81 kota wisata ) [pic] —,1,,
6038,efeknya parah ni membuat kita males sukatidurmulu gabisamikir nontontvmulu mainanmulu twiteran pesbukan,0,,"Parah:5, males:5, malas:5"
6039,ini kenyang sekali kalau belum pulang mungkin bisa beli lagi-_-z,1,,
6040,oke terserah puput sudah benar kok situ salah liat kali,0,,Terserah:5
6041,amasa iya deh yang baik hati alhamdulilah ya,1,Alhamdulillah:5,
6042,ya adanya kamu tuh yang jujur,1,Jujur:3,
6043,masih di stasiun depok lama huft -_- (at —,0,,Huft:5
6044,dia cakap kece banyak yang nyukain tapi sayang belum punya pacar wkwk mending sama saya saja heh,1,"Cakap:4, suka:5, kece:5",
6045,ada tatap2an ama kita lama :p,0,,
6046,via ap #android #seputarandroid acer liquid zx ponsel android dengan layar mungil >,1,,
6047,kaya begitu mah jangan d kasih apa sih untung-nya nyilet-nyilet tangan sendiri cuma buat uang atau perak sakit kan itu,0,,"sakit:5, mah:5, hoak:5, hoax:5, galak:5, jelek:5, leceh:5, "
6048,hey kamu calon kelas dua juga nanti merasakan semoga pas kamu kelas praktik kimia jadi pertimbangan kelulusan ya � �…,0,,
6049,tidak-sabar nonton d gelora bung karno #cfctour asia,1,Sabar:5,
6050,huahahaha mey ini lucu loh sumpah! selama di rumah ini baru sekarang ke kunci di dalam kamar mandi dan harus teriak2 dulu,1,Lucu:5,
6051,ngehasut nadia biar minta pindah di sini lagi di lampung mah enak nya buat liburan bukan buat sekolah :,0,,
6052,mengetahui sbrpa besar kesalahan dimasa lalu bisa mnjadi ukuran sbrpa besar perjuangamu memperbaiki diri hari ini u/ kehidupanmu di masa depan,1,Perjuangan:5,
6053,tanda tanda tamu tak diundang pun sudah bermunculan sakit (�▼� )�,0,,
6054,anak2 cemara pada sewot dan d bilang sombong saya sekarang �,0,,Sombong:5
6055,pida jelous pida kenapa si hahah rtrt heh ! kalau pacaran jangan di tl saya ! iri,0,,"Iri:5, jelous:5"
6056,hahaha lagi sakit perut saya ndah males kemana mana -_- tungu saja mae wkwk siapa yang nyamper -_-,0,,
6057,tekat ku sekarang adalah membuat abang dapat mengingat nama ku :') walau pun sulit dan butuh pengorbanan aku pasti bisa :'),0,,
6058,tahu tidak-peka kalau tahu cewek bilang 'gakpapa' itu ada apa-apanya kenapa masih dicuekin ya jelas dia makin parah ngambeknya,0,,"Cuek:5, ngambek:5"
6059,hm marcel chandrawinata lewat kenapa cakap sekali ha,1,,
6060,sudah lama tidak-melakukan gerakan tari ini hosa e,0,,
6061,cibinong-garut-bandung-jekardah-cibinong ya lumayan pegel-pegel hari ini az,0,,Pegel:3
