test_ID,tweet,capital_count,exclamation_count,word_count,char_count,word_capital_count
0,jadi wanita jangan suka menghancurkan hubungan orang jgn bangga berhasil merusak kebahagian orang silahkan saja  tapi ga berkah bahagianya nanti  emotxtawa ,"3 ",0,25,152,0
1,sombong apanya kalau sms saja dibls terus,"0 ",0,7,41,0
2,apadah kamu  emotxejek  cie cie baik kamu cie bebe cie kiwkiw  emotxkedip ,"0 ",0,14,55,0
3,tdrlah besok medical check up semoga lancar â º wml,"0 ",0,11,51,0
4,crew serbu bsm seru  at bank syariah mandiri bekasi   pic  â  ,"0 ",0,17,62,0
5,sian amat ditelantarin    tapi semua akan indah pada waktunya nge    loh,"0 ",0,16,72,0
6,dan dirikanlah sembahyang tunaikanlah zakat dan tatlah kepada rasul supaya kamu diberi rahmat  24 56 ,"0 ",0,16,101,0
7,kamu pikir saya bandar bayarin makan   evil dead pokoknya star trek keren tapi,"0 ",1,14,78,0
8,tidak kreatif ambil kutipan orang  emotxtawa  kalau suka ya ungkapin saja dari pada ditikung ama,"0 ",0,14,89,0
9,ya jangan dibahas di twiter juga kali ven teman saya tuh  emotxtawa  yap buktinya dia masih sayang sama mantanya han,"0 ",0,20,109,0
10,oke beb later on,"0 ",0,4,16,0
11,jln jatibaru bagian dari wilayah tn abang pengaturan wilayah tgjwb dan wwnang gub tng abng soal rumit sejak gub2   trdahulu skrg sedng dibenahi agr bermnfaat semua pihak mohon yg punya otak berpikirlah dgn wajar kecuali otaknya butek ya kamu  url ,"10 ",0,45,250,0
12,yanga namanya pertemanan pasti ada suka dukanya dan disinilah kita belajar dan berproses bersama grumpytard minoruliciouces  friendship_goals,"2 ",0,19,143,0
13,selamat pagi have a nice day cantik   â  ,"0 ",0,11,41,0
14,apa namanya juga cinta ada yang ditolak ada juga yang nga diterima,"0 ",0,12,66,0
15,di sd smp gue dulu kalau ada yg ketahuan bawa artikel terkait pornografi  dijejerin depan kelas ditendangin tulang keringnya satu satu oleh wali kelas gue ngga pernah  ketahuan   url ,"9 ",0,38,191,0
